"filename", "language", "JavaScript", "CSS", "SVG", "Vue", "Less", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/licheng/code/PearProject/my-front/src/components/project/taskSearch.vue", "Vue", 0, 0, 0, 381, 0, 0, 0, 0, 0, 10, 391
"/Users/licheng/code/PearProject/my-front/src/components/project/taskTag.vue", "Vue", 0, 0, 0, 300, 0, 0, 0, 0, 3, 30, 333
"/Users/licheng/code/PearProject/my-front/src/components/project/taskTagMenu.vue", "Vue", 0, 0, 0, 288, 0, 0, 0, 0, 0, 17, 305
"/Users/licheng/code/PearProject/my-front/src/components/project/versionDetail.vue", "Vue", 0, 0, 0, 1245, 0, 0, 0, 0, 17, 101, 1363
"/Users/licheng/code/PearProject/my-front/src/components/table/EditableCell.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 10, 109
"/Users/licheng/code/PearProject/my-front/src/components/tools/VUploader.vue", "Vue", 0, 0, 0, 127, 0, 0, 0, 0, 249, 2, 378
"/Users/licheng/code/PearProject/my-front/src/components/websocket/socket.vue", "Vue", 0, 0, 0, 76, 0, 0, 0, 0, 5, 5, 86
"/Users/licheng/code/PearProject/my-front/src/config/config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/licheng/code/PearProject/my-front/src/config/menu.json", "JSON", 0, 0, 0, 0, 0, 580, 0, 0, 0, 1, 581
"/Users/licheng/code/PearProject/my-front/src/config/version.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/licheng/code/PearProject/my-front/src/const/common.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/licheng/code/PearProject/my-front/src/main.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 1, 15, 71
"/Users/licheng/code/PearProject/my-front/src/mixins/common.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"/Users/licheng/code/PearProject/my-front/src/mixins/pagination.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 5, 1, 35
"/Users/licheng/code/PearProject/my-front/src/router/home.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 6, 1, 29
"/Users/licheng/code/PearProject/my-front/src/router/index.js", "JavaScript", 142, 0, 0, 0, 0, 0, 0, 0, 19, 5, 166
"/Users/licheng/code/PearProject/my-front/src/store/actions.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"/Users/licheng/code/PearProject/my-front/src/store/index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/licheng/code/PearProject/my-front/src/store/modules/common.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/licheng/code/PearProject/my-front/src/store/modules/menu.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/licheng/code/PearProject/my-front/src/store/mutations.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/Users/licheng/code/PearProject/my-front/src/store/state.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/licheng/code/PearProject/my-front/src/utils/filter.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 2, 5, 61
"/Users/licheng/code/PearProject/my-front/src/views/account/setting/base.vue", "Vue", 0, 0, 0, 198, 0, 0, 0, 0, 1, 12, 211
"/Users/licheng/code/PearProject/my-front/src/views/account/setting/security.vue", "Vue", 0, 0, 0, 572, 0, 0, 0, 0, 1, 15, 588
"/Users/licheng/code/PearProject/my-front/src/views/common/forgot.vue", "Vue", 0, 0, 0, 90, 0, 0, 0, 0, 0, 6, 96
"/Users/licheng/code/PearProject/my-front/src/views/common/inviteFromLink.vue", "Vue", 0, 0, 0, 113, 0, 0, 0, 0, 0, 7, 120
"/Users/licheng/code/PearProject/my-front/src/views/error/403.vue", "Vue", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/licheng/code/PearProject/my-front/src/views/error/404.vue", "Vue", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/licheng/code/PearProject/my-front/src/views/error/500.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/Users/licheng/code/PearProject/my-front/src/views/error/install.vue", "Vue", 0, 0, 0, 195, 0, 0, 0, 0, 0, 3, 198
"/Users/licheng/code/PearProject/my-front/src/views/home/index.vue", "Vue", 0, 0, 0, 703, 0, 0, 0, 0, 13, 34, 750
"/Users/licheng/code/PearProject/my-front/src/views/index.vue", "Vue", 0, 0, 0, 381, 0, 0, 0, 0, 10, 8, 399
"/Users/licheng/code/PearProject/my-front/src/views/member/Register.vue", "Vue", 0, 0, 0, 288, 0, 0, 0, 0, 7, 36, 331
"/Users/licheng/code/PearProject/my-front/src/views/member/forgot.vue", "Vue", 0, 0, 0, 272, 0, 0, 0, 0, 3, 28, 303
"/Users/licheng/code/PearProject/my-front/src/views/member/login.vue", "Vue", 0, 0, 0, 394, 0, 0, 0, 0, 35, 24, 453
"/Users/licheng/code/PearProject/my-front/src/views/members/index.vue", "Vue", 0, 0, 0, 678, 0, 0, 0, 0, 14, 41, 733
"/Users/licheng/code/PearProject/my-front/src/views/members/profile.vue", "Vue", 0, 0, 0, 537, 0, 0, 0, 0, 0, 19, 556
"/Users/licheng/code/PearProject/my-front/src/views/notify/notice.vue", "Vue", 0, 0, 0, 174, 0, 0, 0, 0, 0, 4, 178
"/Users/licheng/code/PearProject/my-front/src/views/notify/system.vue", "Vue", 0, 0, 0, 174, 0, 0, 0, 0, 0, 3, 177
"/Users/licheng/code/PearProject/my-front/src/views/organization/index.vue", "Vue", 0, 0, 0, 213, 0, 0, 0, 0, 7, 6, 226
"/Users/licheng/code/PearProject/my-front/src/views/project/analysis/index.vue", "Vue", 0, 0, 0, 376, 0, 0, 0, 0, 1, 9, 386
"/Users/licheng/code/PearProject/my-front/src/views/project/archive/index.vue", "Vue", 0, 0, 0, 179, 0, 0, 0, 0, 1, 6, 186
"/Users/licheng/code/PearProject/my-front/src/views/project/list/index.vue", "Vue", 0, 0, 0, 521, 0, 0, 0, 0, 6, 18, 545
"/Users/licheng/code/PearProject/my-front/src/views/project/recycle/index.vue", "Vue", 0, 0, 0, 165, 0, 0, 0, 0, 2, 6, 173
"/Users/licheng/code/PearProject/my-front/src/views/project/space/features.vue", "Vue", 0, 0, 0, 865, 0, 0, 0, 0, 4, 27, 896
"/Users/licheng/code/PearProject/my-front/src/views/project/space/files.vue", "Vue", 0, 0, 0, 514, 0, 0, 0, 0, 3, 24, 541
"/Users/licheng/code/PearProject/my-front/src/views/project/space/index.vue", "Vue", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/licheng/code/PearProject/my-front/src/views/project/space/overview.vue", "Vue", 0, 0, 0, 773, 0, 0, 0, 0, 15, 25, 813
"/Users/licheng/code/PearProject/my-front/src/views/project/space/task.vue", "Vue", 0, 0, 0, 1978, 0, 0, 0, 0, 69, 94, 2141
"/Users/licheng/code/PearProject/my-front/src/views/project/space/taskdetail.vue", "Vue", 0, 0, 0, 58, 0, 0, 0, 0, 7, 10, 75
"/Users/licheng/code/PearProject/my-front/src/views/project/template/index.vue", "Vue", 0, 0, 0, 359, 0, 0, 0, 0, 5, 10, 374
"/Users/licheng/code/PearProject/my-front/src/views/project/template/taskStages.vue", "Vue", 0, 0, 0, 230, 0, 0, 0, 0, 4, 4, 238
"/Users/licheng/code/PearProject/my-front/src/views/reset/email.vue", "Vue", 0, 0, 0, 87, 0, 0, 0, 0, 0, 10, 97
"/Users/licheng/code/PearProject/my-front/src/views/system/account/apply.vue", "Vue", 0, 0, 0, 73, 0, 0, 0, 0, 0, 3, 76
"/Users/licheng/code/PearProject/my-front/src/views/system/account/auth.vue", "Vue", 0, 0, 0, 234, 0, 0, 0, 0, 3, 4, 241
"/Users/licheng/code/PearProject/my-front/src/views/system/account/index.vue", "Vue", 0, 0, 0, 309, 0, 0, 0, 0, 3, 3, 315
"/Users/licheng/code/PearProject/my-front/src/views/system/config/menu.vue", "Vue", 0, 0, 0, 506, 0, 0, 0, 0, 16, 3, 525
"/Users/licheng/code/PearProject/my-front/src/views/system/config/node.vue", "Vue", 0, 0, 0, 135, 0, 0, 0, 0, 3, 4, 142
"/Users/licheng/code/PearProject/my-front/vue.config.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 1, 3, 51
"Total", "-", 2174, 904, 1322, 21395, 2496, 650, 62, 11, 1068, 1908, 31990
